164714, 0.000702, -0.002716, 0.001358, 26, 57, 244, 888, 0, 0, 511, 45, 10, 18
169722, 0.000763, -0.002808, 0.001373, -15, 2, 160, 892, 0, 0, 511, 31, 65524, 28
174730, 0.000793, -0.002899, 0.001358, -3, 24, 253, 893, 0, 0, 511, 21, 65523, 22
179738, 0.000793, -0.002991, 0.001450, 42, 28, 226, 892, 0, 0, 511, 47, 65524, 13
184746, 0.000793, -0.002991, 0.001389, 48, 24, 213, 893, 0, 0, 511, 10, 7, 13
189754, 0.000854, -0.003052, 0.001419, 12, -21, 205, 893, 0, 0, 511, 34, 65532, 28
194762, 0.000885, -0.003052, 0.001389, -52, 36, 169, 893, 0, 0, 511, 18, 10, 20
199770, 0.000870, -0.003052, 0.001389, 22, 10, 213, 893, 0, 0, 511, 28, 9, 7
204778, 0.000854, -0.003082, 0.001419, 17, -43, 202, 893, 0, 0, 511, 33, 0, 9
209786, 0.000900, -0.003265, 0.001480, 16, 7, 185, 894, 0, 0, 511, 40, 65504, 24
214794, 0.000946, -0.003296, 0.001389, -41, 5, 155, 895, 0, 0, 511, 5, 1, 23
219802, 0.000961, -0.003601, 0.001450, -142, 101, 301, 896, 0, 0, 511, 39, 65481, 19
224810, 0.000961, -0.004120, 0.001663, 71, 21, 252, 897, 0, 0, 512, 72, 65436, 15
229818, 0.000992, -0.004349, 0.001678, -150, 402, 66, 898, 0, 0, 512, 31, 65497, 20
234826, 0.001083, -0.003723, 0.002106, -50, -363, 153, 901, 0, 0, 517, 116, 139, 34
239834, 0.001068, -0.004181, 0.001907, 314, -162, 381, 898, 0, 0, 517, 65520, 65449, 10
244842, 0.001068, -0.004868, 0.000839, 733, 142, 271, 914, 0, 0, 520, 65339, 65401, 12
249850, 0.001083, -0.004181, 0.001297, 2, -150, 257, 920, 0, 0, 523, 120, 153, 17
254858, 0.001068, -0.004105, 0.002975, 634, 110, 206, 925, 0, 0, 524, 374, 26, 8
259866, 0.001175, -0.002594, 0.002930, -772, -108, 524, 914, 0, 0, 519, 14, 323, 36
264874, 0.001175, -0.002258, 0.000351, -493, -628, 975, 916, 0, 0, 522, 65028, 80, 10
269882, 0.001144, -0.001419, 0.001465, 347, -55, 302, 909, 0, 0, 523, 257, 183, 4
274890, 0.001144, 0.000580, 0.003906, -117, -139, -7, 910, 0, 0, 518, 531, 423, 15
279898, 0.001144, 0.002304, 0.005127, 748, 55, 131, 922, 0, 0, 521, 278, 367, 13
284906, 0.001175, 0.003311, 0.005173, -247, -437, 90, 916, 0, 0, 519, 36, 217, 21
289914, 0.001373, 0.002151, 0.003387, -72, -45, 348, 913, 0, 0, 519, 65193, 65303, 57
